﻿,1
ночи,3
идут,14
черные,2
тени,5
от,64
метели,2
слипаются,1
веки,1
но,81
ни,12
в,683
какой,6
метели,2
не,227
заносит,1
заводскую,1
дорогу,1
в,683
ночи,3
непрерывно,1
идут,14
черные,2
тени,5
человек,17
встает,4
у,39
кассы,2
ищет,1
чтото,7
в,683
кармане,2
протягивает,2
в,683
узенькую,1
щелочку,2
мы,55
живем,1
на,244
луне,1
деньги,1
наш,7
кислород,1
отпущенный,1
нам,10
в,683
баллонах,1
когда,45
они,31
сидят,3
в,683
чулках,1
а,92
туфельки,3
словно,21
футляры,1
скрипок,1
рядом,3
лежат,3
на,244
боку,1
лежит,8
он,61
с,159
соской,2
в,683
тихих,3
глазах,5
отражаются,1
небо,14
и,506
птицы,6
плывущие,2
высоко,3
наклонившись,2
я,157
вдруг,12
увидел,5
самого,4
себя,18
в,683
стареньком,2
пальто,2
поэт,19
стоит,8
в,683
очереди,3
за,67
вермишелью,2
здесь,23
же,53
и,506
его,69
почитательницы,1
поэту,5
немного,5
стыдно,1
он,61
стоял,1
на,244
эстраде,1
словно,21
маленький,4
принц,1
который,12
никогда,6
не,227
ест,1
похожи,3
лицом,2
на,244
небо,14
на,244
ветер,6
на,244
облака,5
потом,6
из,80
них,17
получаются,1
верные,1
жены,1
лица,5
которых,12
похожи,3
на,244
дома,3
на,244
мебель,2
на,244
хозяйственные,1
сумки,1
но,81
их,28
дочери,1
вновь,5
похожи,3
лицом,2
на,244
небо,14
ветер,6
и,506
весенние,1
ручейки,1
я,157
помню,6
из,80
детства,3
запах,4
земли,6
помню,6
как,135
я,157
полол,1
руки,12
словно,21
в,683
перчатках,1
из,80
меха,1
крота,1
положил,1
бы,48
мне,48
ктонибудь,1
на,244
щеку,1
такую,2
руку,4
отрывок,2
порой,1
улыбаться,1
выйти,3
замуж,1
и,506
рожать,1
детей,4
посылать,2
их,28
как,135
письма,3
в,683
будущее,7
и,506
превратиться,1
снова,1
в,683
землю,7
в,683
жизни,29
таится,1
некий,1
упорный,1
смысл,5
который,12
и,506
я,157
ищу,1
мне,48
бы,48
нести,5
с,159
собой,6
дали,3
соленый,1
воздух,7
запах,4
кедров,1
чтобы,25
у,39
выросших,1
среди,8
городских,1
камней,1
бледных,1
девушек,4
перехватило,1
дыхание,4
в,683
их,28
изысканных,1
нарядах,1
глядели,1
бы,48
как,135
очарованные,1
когда,45
я,157
иду,6
где,21
я,157
все,89
это,80
возьму,1
я,157
сам,12
бледнее,1
их,28
на,244
эскалаторе,2
и,506
они,31
глядят,1
вперед,2
будто,7
в,683
вечность,2
сосредоточенные,1
лица,5
свободные,1
от,64
мелочей,1
так,51
изобразят,1
нас,18
на,244
мозаиках,1
будущего,3
а,92
мы,55
мы,55
сходим,1
с,159
лестницы,1
и,506
становимся,1
опять,6
людьми,1
магазины,1
кастрюли,1
хожу,1
среди,8
них,17
как,135
марсианин,1
среди,8
памятников,1
непонятной,1
цивилизации,4
поставленной,1
наспех,1
для,31
первых,3
потребностей,1
а,92
гдето,8
внутри,5
по,73
тихим,2
углам,2
кристаллы,2
музыки,6
не,227
любящих,2
простоты,2
я,157
хочу,7
к,117
ее,29
истокам,3
хочу,7
домой,7
где,21
отец,8
садовник,1
и,506
собирает,3
книги,6
мать,3
моя,9
все,89
полнеет,1
и,506
задыхается,1
будто,7
несет,5
на,244
себе,26
меня,27
мою,8
поэзию,6
запутанную,1
жизнь,18
и,506
поиски,1
я,157
искал,3
одиночества,1
чтобы,25
слушать,1
тебя,17
как,135
орган,1
в,683
высокой,2
церкви,1
столько,5
красивых,2
девушек,4
любуюсь,1
ими,1
без,26
устали,1
иногда,11
улыбаются,2
мне,48
и,506
я,157
вполне,1
счастлив,1
и,506
только,39
к,117
вечеру,2
замечаю,1
что,134
остался,3
один,13
личность,4
мгновенна,4
на,244
улицах,4
города,6
подобно,4
вспышке,2
магния,2
визжат,3
пронзительно,3
тормоза,3
и,506
люди,12
бегут,3
на,244
светофоры,1
как,135
футболисты,1
за,67
мячом,1
а,92
гдето,8
ходит,4
по,73
земле,7
дух,5
действия,2
и,506
делает,4
все,89
без,26
меня,27
мы,55
два,13
великих,2
духа,3
тоскуем,1
от,64
неполноты,1
в,683
разделенном,1
мире,7
многие,5
вещи,4
ищут,2
друг,6
друга,4
могилы,2
сровняются,2
с,159
землей,2
когданибудь,4
будем,4
седой,3
древностью,2
соберет,3
соль,3
слез,3
золотую,3
пыль,4
улыбок,5
но,81
помогаю,2
ему,11
открывать,2
свинцовые,2
двери,5
вот,19
он,61
изобретен,1
вагон,1
метро,2
кольцевой,1
линии,4
входят,1
новые,4
люди,12
и,506
выходят,3
а,92
